canonical,variants,category,notes
char kway teow,char kuey teow|char kuay teow|char koay teow|char kew tiew|ckt|char kue tiau|char kue tiau|char kuey tiew|char keuy tiew|char kwe tiaw|fried kway teow|fried kwetiaw|cha kway teow|char kueh tiao|char kway tiao|fried kway teow|fried kuey teow|char guey teow|char koey teow|chaw kuay tiao|chaw keay tiao|fried kuay tiao|char quay teow|fried guai tiao|chawkueytiao|char way teo|char keow tiew|Char Kouy Teow|char kuay tiao|fried kuih teow,noodle,"Stir-fried flat rice noodles with prawns, cockles, and Chinese sausage."
rojak," rujak|rojak buah|fruit rojak|rojuk|rajak|rojok|rajuk",snack,"Fruit or vegetable salad with sweet, spicy sauce made of shrimp paste and peanuts."
cendol,chendol|cendul|chendoi,dessert,"Shaved ice dessert with coconut milk, green jelly, and palm sugar syrup."
mee goreng," mi goreng|fried mee|fried mi|fried mii|fried noodle",noodle,"Stir-fried yellow noodles with egg, tofu, and sauce, popular in Mamak stalls."
kway teow," koay teow|kuay teow|kuey teow|kew tiew|kue tiau|kuey tiew|keuy tiew|kwe tiaw|月光河|kuehteow|kway tiao|kueh tiew|kuey tiao|koey teow|kuih teow|kwetiaw|charkoay tiau",noodle,"Flat rice noodles, used in many Malaysian-Chinese dishes."
kway teow soup,koay teow soup|kuay teow soup|kuey teow soup|kew tiew soup|kue tiau soup|kuey tiew soup|keuy tiew soup|kwe tiaw soup|河喜|Hor Hee|kway tiao soup|ho hee,noodle,
hokkien mee,hokien mee|hokkien noodles|hokien noodle|hokien noodle|penang mee,noodle,Noodle-based dish commonly served in Malaysian or Singaporean hawker centres.
chee cheong fun,cf|CF|mi chee cheong fan|chee cheung fun|mee chee cheong fun|ccf|chee cheongfun|cheecheongfun|阿福猪肠粉|cing cong fan|chu chiong fang|chee chon fun|chong fan|chee chong fan|chee cheng fun|cheongfun|cheurn fun|chu cheong fun|chee cheong fan|Chee Cheong Fan|chee charge fun,noodle,Noodle-based dish commonly served in Malaysian or Singaporean hawker centres.
nasi lemak,nasilemak|coconut milk rice|rice lemak,rice,"Fragrant rice cooked in coconut milk served with sambal, anchovies, egg, and peanuts."
penang laksa,laksa|laksah|asam laksa|assam laksa|laksa penang|penang laksa|pinang laksa|laksa pinang|lalsa|Assam Laksa|asam laksa,noodle,Spicy noodle soup with coconut milk or tamarind base.
bak kut teh,bak kut teh|bkt|bah kut tea|bht,beverage,Popular beverage typically available in hawker stalls and kopitiams across Malaysia.
char siew," char siu|charsiew|bbq pork|roasted pork|cha siu|chasiu",other,"Cantonese-style barbecued pork, marinated in honey, soy sauce, and five-spice powder, roasted until caramelized and slightly charred."
satay,satay|sate,snack,Light snack or savoury item commonly enjoyed as street food or side dish.
roti canai,roti chanai|roti canai|roti cane|roti prata,bread,"Flaky flatbread served with curry, a staple in Mamak stalls."
teh tarik," teh tarik|teh tarik panas|hot pulled tea",beverage,"Strong milk tea frothed by 'pulling' between two cups, national beverage of Malaysia."
fried rice," nasi goreng|fried nasi|rice fried",rice,"Rice-based dish popular in Malaysian cuisine, often served with side dishes or curries."
grilled fish," ikan bakar|grilled fish|ikan panggang|sambal stingray|ikan pari bakar",snack,Light snack or savoury item commonly enjoyed as street food or side dish.
fried chicken," ayam goreng|fried ayam",other,Traditional Malaysian or Asian food item commonly found in hawker centres.
mee rebus," mee rebus|mi rebus|rebus mi|rebus mee|noodles in gravy|mee rebus johor|Johor mee rebus|mee rebus singapore|Singapore noodles in gravy|mee rebus mamak|Mamak noodles in gravy",noodle,Noodle-based dish commonly served in Malaysian or Singaporean hawker centres.
laksa lemak," laksa lemak|creamy laksa",noodle,Noodle-based dish commonly served in Malaysian or Singaporean hawker centres.
asam pedas,sour and spicy fish stew,other,Traditional Malaysian or Asian food item commonly found in hawker centres.
fried fish," ikan goreng|fried ikan",other,Traditional Malaysian or Asian food item commonly found in hawker centres.
chicken rice," nasi ayam|rice chicken|ricechicken",rice,"Rice-based dish popular in Malaysian cuisine, often served with side dishes or curries."
mee siam," mee siam|spicy rice vermicelli|mee siam with gravy|mi siam",noodle,Noodle-based dish commonly served in Malaysian or Singaporean hawker centres.
teh o," teh o|black tea",beverage,Popular beverage typically available in hawker stalls and kopitiams across Malaysia.
kopi o," kopi o|black coffee",beverage,Popular beverage typically available in hawker stalls and kopitiams across Malaysia.
nasi kandar," nasi kandar|kandar rice",rice,"Steamed rice with mixed curries, originated from Penang Indian Muslim vendors."
mee bandung," mee bandung|Bandung noodles",noodle,Noodle-based dish commonly served in Malaysian or Singaporean hawker centres.
laksa sarawak," laksa sarawak|Sarawak laksa",noodle,Noodle-based dish commonly served in Malaysian or Singaporean hawker centres.
curry puff," curry puff|karipap",other,Traditional Malaysian or Asian food item commonly found in hawker centres.
soybean pudding," tau foo fah|douhua|tau fu fa|Tofu pudding|Soybean pudding|Tau huay|Tofu fa|tau fu fah|douhua｜豆花|Tau Fu fah|tofu far|tauhua",other,Traditional Malaysian or Asian food item commonly found in hawker centres.
ikan celup tepung," ikan celup tepung|battered fish|floured deep-fried fish",other,Traditional Malaysian or Asian food item commonly found in hawker centres.
ayam percik," ayam percik|roasted spiced chicken",other,Traditional Malaysian or Asian food item commonly found in hawker centres.
nasi ulam," nasi ulam|herbed rice|salad rice",rice,"Rice-based dish popular in Malaysian cuisine, often served with side dishes or curries."
lontong," lontong|compressed rice cake|pressed rice|lontong sayur",other,Traditional Malaysian or Asian food item commonly found in hawker centres.
ayam masak merah," ayam masak merah|chicken in red sauce",other,Traditional Malaysian or Asian food item commonly found in hawker centres.
mee pok," mee pok|flat noodles|flat egg noodles|mi pok",noodle,Noodle-based dish commonly served in Malaysian or Singaporean hawker centres.
ginger tea," teh halia|ginger tea",beverage,Popular beverage typically available in hawker stalls and kopitiams across Malaysia.
kopi tarik," kopi tarik|pulled coffee",beverage,Popular beverage typically available in hawker stalls and kopitiams across Malaysia.
nasi dagang," nasi dagang|trader's rice",rice,"Rice-based dish popular in Malaysian cuisine, often served with side dishes or curries."
ikan singgang," ikan singgang|spicy fish soup",other,Traditional Malaysian or Asian food item commonly found in hawker centres.
grilled chicken," ayam bakar",snack,Light snack or savoury item commonly enjoyed as street food or side dish.
